Row,Non_active_mean,Strongly_active_mean,p_value,p_values_groups,rank_differences_groups
Clout,58.9737 (1.1465),44.9978 (1.5023),7.21569588759518e-12,7.2157e-12 ( 01 ),"103.2736(73.7387,132.8086)"
Authentic,28.8265 (1.3488),37.9729 (2.0474),4.19394969485601e-05,4.1939e-05 ( 01 ),"-61.8009(-91.3693,-32.2326)"
WPS,25.1377 (0.60174),27.0375 (0.77595),0.0120707660868555,0.012071 ( 01 ),"-37.8645(-67.4306,-8.2984)"
Dic,76.4031 (0.42573),80.3097 (0.58932),6.50608799496476e-08,6.5061e-08 ( 01 ),"-81.5337(-111.1033,-51.9641)"
Linguistic,50.3998 (0.46485),53.6021 (0.57946),0.000162975024036342,0.00016298 ( 01 ),"-56.8835(-86.4531,-27.3139)"
xFunction,39.3891 (0.3936),41.8796 (0.52306),0.000946535924070029,0.00094654 ( 01 ),"-49.8761(-79.4456,-20.3066)"
ppron,3.2137 (0.14681),1.7934 (0.15408),2.74204722560566e-10,2.742e-10 ( 01 ),"94.5903(65.2219,123.9586)"
i,0.26094 (0.038279),0.085459 (0.03358),0.00220828070808492,0.0022083 ( 01 ),"24.6147(8.8523,40.3771)"
shehe,1.2308 (0.099022),0.16935 (0.042473),1.01859263559493e-15,1.0186e-15 ( 01 ),"100.2136(75.7369,124.6902)"
ipron,2.2977 (0.097367),3.2174 (0.16159),5.13293717723846e-08,5.1329e-08 ( 01 ),"-81.9872(-111.4901,-52.4842)"
det,12.5982 (0.19045),13.925 (0.29598),0.000767406396742155,0.00076741 ( 01 ),"-50.7555(-80.3245,-21.1864)"
article,7.8816 (0.14694),8.4251 (0.21688),0.0384454638916324,0.038445 ( 01 ),"-0.54352(-1.058,-0.029008)"
number,3.3323 (0.17135),5.3058 (0.2797),4.46902292655964e-11,4.469e-11 ( 01 ),"-99.2987(-128.8422,-69.7552)"
auxverb,4.9574 (0.15088),5.9566 (0.24532),0.000633583643619948,0.00063358 ( 01 ),"-51.5441(-81.1111,-21.9772)"
adverb,2.2129 (0.10473),3.0294 (0.17961),2.48548253298924e-05,2.4855e-05 ( 01 ),"-63.3389(-92.7835,-33.8942)"
adj,5.0972 (0.13272),6.9078 (0.23149),3.25360439139845e-11,3.2536e-11 ( 01 ),"-100.0913(-129.6598,-70.5228)"
quantity,3.3003 (0.1213),4.9194 (0.28477),2.95590547868933e-06,2.9559e-06 ( 01 ),"-70.4567(-100.0024,-40.911)"
Drives,7.0386 (0.20035),3.2049 (0.19785),3.13370726449336e-28,3.1337e-28 ( 01 ),"166.1945(136.6302,195.7587)"
affiliation,1.3384 (0.084891),0.81654 (0.1139),4.55508009586185e-06,4.5551e-06 ( 01 ),"64.305(36.8121,91.7978)"
power,4.9497 (0.18446),1.7517 (0.13277),5.81118475400169e-25,5.8112e-25 ( 01 ),"155.1609(125.6886,184.6331)"
Cognition,7.139 (0.21046),9.5379 (0.33514),1.4460893849204e-10,1.4461e-10 ( 01 ),"-96.7197(-126.289,-67.1505)"
cogproc,6.5328 (0.20041),8.8141 (0.30435),2.67433100125968e-11,2.6743e-11 ( 01 ),"-100.529(-130.0982,-70.9599)"
insight,1.6648 (0.084988),2.1544 (0.14401),0.00279931177295154,0.0027993 ( 01 ),"-44.5328(-73.7345,-15.3311)"
cause,1.2172 (0.071514),2.0201 (0.14953),1.06415588215974e-06,1.0642e-06 ( 01 ),"-71.4031(-100.0845,-42.7217)"
tentat,0.90491 (0.061512),1.1791 (0.10538),0.0207462047460981,0.020746 ( 01 ),"-32.537(-60.1129,-4.9611)"
certitude,0.30933 (0.035383),0.62281 (0.069396),4.15392717284503e-06,4.1539e-06 ( 01 ),"-52.6759(-75.1028,-30.249)"
differ,1.9771 (0.091206),2.4774 (0.14913),0.0017539328980119,0.0017539 ( 01 ),"-46.9422(-76.346,-17.5384)"
emo_anger,0.11146 (0.019867),0.046811 (0.021917),0.0169499140177577,0.01695 ( 01 ),"15.1624(2.7167,27.608)"
Social,10.7789 (0.27035),6.1802 (0.32506),1.44275799976866e-21,1.4428e-21 ( 01 ),"143.9103(114.3412,173.4795)"
socbehav,4.7497 (0.15801),2.7127 (0.1799),4.27539252327421e-14,4.2754e-14 ( 01 ),"113.8419(84.2979,143.386)"
prosocial,0.47139 (0.048327),0.21059 (0.041197),0.00185043618026908,0.0018504 ( 01 ),"33.9093(12.5615,55.2571)"
polite,0.23625 (0.037042),0.051459 (0.017886),0.00145790353817111,0.0014579 ( 01 ),"25.0366(9.6198,40.4535)"
conflict,0.68196 (0.062981),0.28973 (0.049864),0.000418222885922165,0.00041822 ( 01 ),"41.6304(18.5049,64.756)"
moral,0.55916 (0.053446),0.15616 (0.03562),4.07567909109955e-07,4.0757e-07 ( 01 ),"56.6114(34.7066,78.5162)"
comm,1.9785 (0.099963),1.3748 (0.12271),0.000487358187619499,0.00048736 ( 01 ),"51.5205(22.5671,80.4739)"
socrefs,5.8969 (0.19903),3.3458 (0.21779),1.11793571509813e-14,1.1179e-14 ( 01 ),"116.4801(86.9274,146.0328)"
female,0.6467 (0.090359),0.2053 (0.05603),0.00194038884351982,0.0019404 ( 01 ),"29.6977(10.9166,48.4788)"
male,1.0586 (0.089394),0.252 (0.0539),3.84042462653512e-10,3.8404e-10 ( 01 ),"76.6439(52.6486,100.6391)"
Culture,5.2054 (0.21996),1.3506 (0.14717),1.75747883448964e-33,1.7575e-33 ( 01 ),"180.6589(151.294,210.0237)"
politic,4.236 (0.20291),0.83157 (0.10308),4.90295766295473e-31,4.903e-31 ( 01 ),"170.8122(141.9143,199.7101)"
ethnicity,0.54124 (0.064612),0.24854 (0.051851),0.00442683197649618,0.0044268 ( 01 ),"30.5258(9.5037,51.548)"
Lifestyle,4.644 (0.17778),3.6425 (0.23587),0.000750883355060176,0.00075088 ( 01 ),"50.8225(21.2671,80.3779)"
home,0.31821 (0.039177),0.089784 (0.03644),7.10782738031326e-06,7.1078e-06 ( 01 ),"40.8023(22.9931,58.6115)"
money,0.73854 (0.084134),0.27238 (0.075735),0.000127048601450108,0.00012705 ( 01 ),"42.5926(20.8083,64.377)"
relig,0.20608 (0.051777),0.040216 (0.02218),0.0225721407913774,0.022572 ( 01 ),"13.3247(1.8734,24.7761)"
Physical,2.8778 (0.18239),8.7522 (0.41805),4.75687151573025e-30,4.7569e-30 ( 01 ),"-169.1244(-198.2301,-140.0187)"
health,1.6559 (0.14671),7.3482 (0.38047),1.5526830640019e-38,1.5527e-38 ( 01 ),"-185.2174(-213.1812,-157.2536)"
illness,1.144 (0.11771),5.8042 (0.30796),1.22213455055095e-42,1.2221e-42 ( 01 ),"-188.2499(-215.208,-161.2918)"
substances,0.082854 (0.031225),0 (0),0.0308442827122661,0.030844 ( 01 ),"7.2953(0.67278,13.9178)"
death,0.5095 (0.057334),1.0309 (0.12607),3.03435078722933e-05,3.0344e-05 ( 01 ),"-48.5432(-71.3545,-25.7319)"
acquire,0.65037 (0.053327),0.41189 (0.060916),0.00687601000690195,0.006876 ( 01 ),"33.8107(9.2924,58.329)"
fulfill,0.12556 (0.023963),0.30141 (0.054828),0.000226790214512057,0.00022679 ( 01 ),"-30.2813(-46.3779,-14.1848)"
risk,0.45042 (0.045627),0.84373 (0.094519),7.29938089698678e-05,7.2994e-05 ( 01 ),"-47.9951(-71.712,-24.2782)"
curiosity,0.18427 (0.02948),0.4973 (0.071509),2.1333784290253e-07,2.1334e-07 ( 01 ),"-50.1482(-69.096,-31.2003)"
allure,3.0847 (0.1201),3.6202 (0.20303),0.0331196622385921,0.03312 ( 01 ),"-32.0993(-61.6273,-2.5712)"
motion,1.1475 (0.062767),0.96184 (0.09488),0.0450750633670534,0.045075 ( 01 ),"28.8302(0.63286,57.0275)"
feeling,0.093027 (0.016558),0.34611 (0.077983),0.0015040477093217,0.001504 ( 01 ),"-24.9656(-40.3826,-9.5487)"
focuspast,4.4939 (0.15615),3.5119 (0.1862),0.000519984224505642,0.00051998 ( 01 ),"52.3407(22.7791,81.9023)"
focuspresent,2.676 (0.114),3.8052 (0.20701),1.21147220218891e-06,1.2115e-06 ( 01 ),"-73.0436(-102.5388,-43.5483)"
assent,0.027519 (0.011121),0.055784 (0.018264),0.0332281427383917,0.033228 ( 01 ),"-9.054(-17.388,-0.7201)"
filler,0.048213 (0.01582),0 (0),0.0178264076213189,0.017826 ( 01 ),"8.7543(1.5122,15.9965)"
Period,4.2639 (0.12727),3.5362 (0.16476),0.00116705157004336,0.0011671 ( 01 ),"48.9809(19.4132,78.5487)"
Apostro,1.7651 (0.090976),1.3248 (0.11738),0.00186865961843392,0.0018687 ( 01 ),"46.0037(17.0148,74.9926)"
OtherP,4.6072 (0.21355),6.8348 (0.40472),2.84642421254718e-10,2.8464e-10 ( 01 ),"-95.1187(-124.6782,-65.5592)"
