Row,OR,LB,UB,p_value
WC,1.37448871888765,1.10082687108607,1.71618197917491,0.00498449393437575
WPS,1.35871965277478,1.08825244162562,1.69640703224953,0.0067938482378601
Dic,2.04496392391064,1.49893411615597,2.78990077350463,6.36356792211044e-06
Linguistic,1.29858496926098,1.0107851437305,1.66832974628696,0.0409615568820989
xFunction,1.48711673325392,1.13777765281557,1.94371560458334,0.00367448254773338
det,1.27471497364061,1.01735211828378,1.59718374279763,0.0349001805116339
article,1.25054488619072,1.00193835317891,1.56083705890286,0.048027573689743
conj,1.34149858863696,1.0921262775362,1.64781170486516,0.00511235003543083
verb,1.33612325434804,1.06588765381381,1.67487196649851,0.0119551404226036
Drives,2.11108039054625,1.67954206371909,2.6534973500338,1.51126345106745e-10
achieve,2.03319050750878,1.62342984505679,2.54637652031042,6.42358345000702e-10
power,1.64054426174146,1.30483859681418,2.06261945447042,2.25649684484284e-05
Cognition,0.649125913829194,0.488593960905165,0.862402087868564,0.00287028000624253
cogproc,0.738821195114982,0.567894264463795,0.961194349913937,0.0241444100961641
Social,1.42498449531052,1.1610814561662,1.74887024600342,0.000700762457839135
socbehav,1.34462156237728,1.10508159324972,1.63608475342812,0.00309434676293601
Culture,2.03125059828964,1.58482277980156,2.60343241253047,2.1860506484844e-08
politic,1.37008729866494,1.10835797401646,1.69362178102138,0.00360073065526845
ethnicity,1.37618332823087,1.08903983433908,1.73903698761393,0.00748641909029801
tech,1.55764224205239,1.25172614761782,1.93832281832847,7.10766059158932e-05
Lifestyle,1.36180073440047,1.10972752331895,1.67113205831578,0.00310721272815847
leisure,1.54610506942485,1.14343254441934,2.09058321574635,0.00464393926221083
money,1.3861519074388,1.13911790161718,1.68675876989419,0.0011113690291054
Physical,0.704008302827021,0.532979054698799,0.929919639580351,0.013447540234217
mental,1.56700094634388e-06,1.08836468916892e-09,0.00225612976080439,0.0003152070468284
reward,1.21094973477533,1.00055715716414,1.46558270025135,0.0493309186510899
attention,6.13602003591451e-07,1.33721916890453e-12,0.281559992233647,0.0315116373635413
focuspast,1.27673998848323,1.03405534889926,1.57638080004841,0.0231264422460041
AllPunc,0.692331245403464,0.525157108613175,0.912722203509152,0.00911609543300641
Period,0.662040923995693,0.498559589200053,0.879128983855928,0.00436772873648465
