Row,OR,LB,UB,p_value
WC,1.37448871888765,1.10082687108607,1.71618197917491,0.00498449393437575
Analytic,1.0720299257403,0.842969830554655,1.363332494268,0.570625375867169
Clout,1.07411619734505,0.854286217785799,1.35051412673997,0.540548489637816
Authentic,0.947045296361986,0.748268081249057,1.1986276253615,0.650792995224176
Tone,1.20012635164735,0.979560992252265,1.47035587504025,0.0782909848662389
WPS,1.35871965277478,1.08825244162562,1.69640703224953,0.0067938482378601
BigWords,0.819930442134151,0.643315234661043,1.0450334357347,0.108691947896618
Dic,2.04496392391064,1.49893411615597,2.78990077350463,6.36356792211044e-06
Linguistic,1.29858496926098,1.0107851437305,1.66832974628696,0.0409615568820989
xFunction,1.48711673325392,1.13777765281557,1.94371560458334,0.00367448254773338
pronoun,1.09796690763551,0.891428999794309,1.35235821421657,0.379381860750588
ppron,0.0286642343663629,0,Inf,0.996039316534881
i,NaN,NaN,NaN,NaN
we,NaN,NaN,NaN,NaN
you,NaN,NaN,NaN,NaN
shehe,NaN,NaN,NaN,NaN
they,0.181988830470036,0,Inf,0.999840829884076
ipron,1.13122695175468,0.923135811777246,1.38622551530366,0.234494719969598
det,1.27471497364061,1.01735211828378,1.59718374279763,0.0349001805116339
article,1.25054488619072,1.00193835317891,1.56083705890286,0.048027573689743
number,0.845587091706081,0.649711380156602,1.10051563124476,0.212187321811645
prep,1.22229830183483,0.966950604462931,1.54507699956207,0.0931700512536074
auxverb,1.04566941262565,0.831108690757095,1.31562156991143,0.703103590953399
adverb,1.04874724335872,0.842686674716959,1.30519541064528,0.66977940284407
conj,1.34149858863696,1.0921262775362,1.64781170486516,0.00511235003543083
negate,0.883731960531252,0.668451392161911,1.1683455030867,0.385547562311343
verb,1.33612325434804,1.06588765381381,1.67487196649851,0.0119551404226036
adj,0.851331184601072,0.664229809211353,1.09113559166335,0.203668421131932
quantity,0.750015162304462,0.55880778072881,1.00664801580417,0.0553816734855049
Drives,2.11108039054625,1.67954206371909,2.6534973500338,1.51126345106745e-10
affiliation,0.000201834547442508,6.10878709859445e-32,6.66862077264002e+23,0.792418910686761
achieve,2.03319050750878,1.62342984505679,2.54637652031042,6.42358345000702e-10
power,1.64054426174146,1.30483859681418,2.06261945447042,2.25649684484284e-05
Cognition,0.649125913829194,0.488593960905165,0.862402087868564,0.00287028000624253
allnone,4.64558018698361e-05,2.41411583541133e-16,8939676.778193,0.451687592843813
cogproc,0.738821195114982,0.567894264463795,0.961194349913937,0.0241444100961641
insight,0.840068749767871,0.636481761350477,1.10877569034999,0.218410072916885
cause,0.829333178756721,0.638436293294818,1.07730955869878,0.160894756873185
discrep,0.957890063613637,0.751412532015525,1.22110469931686,0.728345013907621
tentat,0.950346715822996,0.746719713876358,1.20950185657627,0.678907675987667
certitude,0.053005244786172,0,Inf,0.999635752311498
differ,0.855987189821874,0.661552024290119,1.10756832756334,0.23687077658577
memory,0.00896180593776351,6.16653486368545e-116,1.30241646956546e+111,0.971708941698415
Affect,1.16786729179677,0.946818309792824,1.44052348496214,0.147189164294823
tone_pos,1.19293241996588,0.976281830749596,1.45766080427103,0.0844820260246167
tone_neg,1.0785181490065,0.869275082919213,1.33812808004358,0.492147506820951
emotion,0.563753031673298,0.244311849381153,1.30086805664921,0.179126764372122
emo_pos,NaN,NaN,NaN,NaN
emo_neg,0.63618939691322,0.335566672798263,1.20612975469148,0.165824667207459
emo_anx,0.769431748934645,0.471420532913482,1.25583247850869,0.294351918585621
emo_anger,0.278110600578119,0,Inf,0.999971243974119
emo_sad,0.27795759819354,0,Inf,0.999971232242794
swear,NaN,NaN,NaN,NaN
Social,1.42498449531052,1.1610814561662,1.74887024600342,0.000700762457839135
socbehav,1.34462156237728,1.10508159324972,1.63608475342812,0.00309434676293601
prosocial,NaN,NaN,NaN,NaN
polite,0.0936817424893087,0,Inf,0.999670179974255
conflict,0.0055640213055961,1.54528686962563e-30,2.00340362023704e+25,0.872594726200365
moral,83.4075099621431,3.57448000828531e-30,1.94624468508978e+33,0.904447716196495
comm,0.966014174901078,0.743490717423633,1.25513791126204,0.795757497154592
socrefs,0.993139149505906,0.787040172941267,1.25320841831401,0.953737319084844
family,0.894810748777333,0.635258299559266,1.26041057107472,0.524854203257667
friend,NaN,NaN,NaN,NaN
female,0.0768295050481054,0,Inf,0.99828119464049
male,0.100070969783066,0,Inf,0.998458215106279
Culture,2.03125059828964,1.58482277980156,2.60343241253047,2.1860506484844e-08
politic,1.37008729866494,1.10835797401646,1.69362178102138,0.00360073065526845
ethnicity,1.37618332823087,1.08903983433908,1.73903698761393,0.00748641909029801
tech,1.55764224205239,1.25172614761782,1.93832281832847,7.10766059158932e-05
Lifestyle,1.36180073440047,1.10972752331895,1.67113205831578,0.00310721272815847
